phenotype name,Synonyms,hpo_id,database_cross_reference
Preductal coarctation of the aorta,Proximal aortic coarctation,HP:0005151,SNOMEDCT_US:13867009|UMLS:C0265878
Granular osmiophilic deposits (GROD) in cells,,HP:0003657,UMLS:C1859833
Abnormal central microtubular pair morphology of respiratory motile cilia,,HP:0012260,UMLS:C4022985
Low frustration tolerance,,HP:0000744,UMLS:C0548883
Absent/shortened outer dynein arms,Respiratory cilia have shortened or absent outer dynein arms,HP:0200109,UMLS:C2750161
Ichthyosis,Ichthyotic skin|Ichthyosiform abnormality of the skin|Hypertrophic ichthyosis,HP:0008064,MSH:D007057|UMLS:C0020757|MEDDRA:10021198
Iridocyclitis,,HP:0001094,MSH:D015863|UMLS:C0022073|SNOMEDCT_US:77971008
Distal/middle symphalangism of 5th finger,Symphalangism of the distal and middle phalanges of the 5th finger|Symphalangism of the terminal and middle phalanges of the 5th finger|Fused end and middle bones of pinkie finger|Fused end and middle bones of little finger|Fifth finger distal interphalangeal joint symphalangism|Fused end and middle bones of pinky finger|Fusion of the terminal and middle phalanges of the 5th finger,HP:0009244,UMLS:C4020781|UMLS:C1868573
Progressive joint destruction,,HP:0005187,UMLS:C4025243
Anomalous trichromacy,,HP:0011519,UMLS:C4023316
Hyperchromic macrocytic anemia,Hyperchromic macrocytic anaemia,HP:0004857,UMLS:C3854594
Atypical pulmonary carcinoid tumor,Atypical pulmonary carcinoid tumour,HP:0030446,UMLS:C4072942
Curved distal phalanx of the hallux,Curved outermost bone of big toe,HP:0010079,UMLS:C4024066
Macule,"Flat, discolored area of skin|Flat, discoloured area of skin",HP:0012733,SNOMEDCT_US:112629002|UMLS:C0332573
Generalized hypotonia due to defect at the neuromuscular junction,Generalised hypotonia due to defect at the neuromuscular junction,HP:0003397,UMLS:C1853950
Intestinal duplication,Bowel duplication|Gut duplication,HP:0100668,UMLS:C4020702|SNOMEDCT_US:3845008|UMLS:C0266166
Shortening of all phalanges of fingers,Shortening of all finger bones,HP:0011910,UMLS:C4023133
Cone-shaped epiphysis of the distal phalanx of the 2nd finger,Cone-shaped end part of the outermost bone of the index finger,HP:0009504,UMLS:C4024326
Ranula,Sublingual ptyalocele|Sublingual cyst,HP:0030706,SNOMEDCT_US:14919007|UMLS:C2242813|MSH:D011900
Cervical myelopathy,,HP:0002318,SNOMEDCT_US:202664003|UMLS:C0149645
Upper motor neuron dysfunction,Corticospinal tract dysfunction|Pyramidal tract dysfunction,HP:0002493,UMLS:C1504405|UMLS:C1839042
Atrophodermia vermiculata,Vermiculata atrophoderma,HP:0100837,SNOMEDCT_US:400126005|UMLS:C0263428|MSH:C537412|SNOMEDCT_US:400059005
Abnormal circulating pyruvate family amino acid concentration,Abnormality of pyruvate family amino acid metabolism,HP:0010915,UMLS:C4023655
Short chin,Vertical hypoplasia of chin|Vertical deficiency of chin|Short lower third of face|Decreased height of chin|Short chin|Small chin,HP:0000331,SNOMEDCT_US:699439001|UMLS:C1839323|UMLS:C3697248
Abnormal central motor function,Abnormality of central motor function,HP:0011442,UMLS:C4023354
Gonadotropin deficiency,Pituitary gonadotropin deficiency,HP:0008213,MSH:D007006|UMLS:C0271623|SNOMEDCT_US:33927004
Diarrhea,Diarrhoea|Watery stool|Diarrhea,HP:0002014,SNOMEDCT_US:62315008|MSH:D003967|UMLS:C0011991|SNOMEDCT_US:267060006
Peripheral amyelination,,HP:0030172,UMLS:C4022600
Triceps aplasia,Absent triceps,HP:0009785,UMLS:C3810484
Abnormal pupillary light reflex,,HP:0007695,UMLS:C1970591
Small cervical vertebral bodies,Small cervical vertebrae,HP:0004629,UMLS:C1851130
Distal urethral duplication,,HP:0008706,UMLS:C4024634
Hypoplasia of the fovea,Foveal hypoplasia|Dull foveal reflex,HP:0007750,UMLS:C4072863|UMLS:C2673946
Distal amyotrophy,"Amyotrophy of distal limb muscles|Distal muscle atrophy|Muscle atrophy, distal|Distal muscle degeneration|Distal muscle wasting|Distal limb muscle atrophy|Distal muscular atrophy|Distal amyotrophy, especially of the hands and feet|Distal muscle atrophy, upper and lower limbs",HP:0003693,UMLS:C1848736
Abnormal spinal meningeal morphology,Abnormality of the spinal meninges,HP:0010303,UMLS:C4023914
Small finger,Small finger,HP:0030033,UMLS:C0575827|SNOMEDCT_US:299058009
Dentinogenesis imperfecta limited to primary teeth,Dentinogenesis imperfecta of baby teeth,HP:0011060,MSH:D003805|SNOMEDCT_US:109492001|UMLS:C4023558|UMLS:C0011430
Median cleft lip and palate,Central cleft lip and palate|Wide midline cleft lip/palate|Medial cleft lip and palate|Midline cleft lip/palate,HP:0008501,UMLS:C2750604
Failure to thrive in infancy,Weight faltering in infancy|Faltering weight in infancy|Failure to thrive in first year of life,HP:0001531,UMLS:C1867873
Spherocytosis,,HP:0004444,SNOMEDCT_US:17235000|UMLS:C0553720
Urinary bladder inflammation,Urinary bladder inflammation|Cystitis of the urinary bladder,HP:0100577,SNOMEDCT_US:38822007|MSH:D003556|UMLS:C0010692
Patent tuba eustachii,Open tuba eustachii,HP:0040124,UMLS:C4021033
Hyperchloriduria,Increased urinary chloride,HP:0002914,UMLS:C1846352
Fingerpad telangiectases,Small dilated blood vessels in fingerpads|Finger pad telangiectases,HP:0006107,UMLS:C1861248
Abnormal ossification of the trapezoid bone,,HP:0045004,UMLS:C4022406
Postductal coarctation of the aorta,Postductal aortic coarctation,HP:0011647,SNOMEDCT_US:72242008|UMLS:C0265879
Fibular bowing,Bowed calf bone,HP:0010502,UMLS:C4023801
Acute kidney injury,Acute kidney failure|Acute renal failure,HP:0001919,SNOMEDCT_US:14350001000004108|SNOMEDCT_US:14669001|UMLS:C2609414|UMLS:C0022660|MSH:D058186
Renal cyst,Kidney cyst|Renal cysts|Cystic kidneys|Cystic kidney disease,HP:0000107,UMLS:C0022679|UMLS:C3887499|MSH:D052177
Duplication of the proximal phalanx of the 3rd toe,Partial/complete duplication of the proximal phalanx of the 3rd toe|Duplication of the proximal phalanx of the third toe|Duplication of the innermost 3rd toe bone,HP:0100404,UMLS:C4020993
Increased proportion of immature B cells,Increased proportion of CD19+/CD21low B cells,HP:0030377,UMLS:C4072916
Single ventricle,Common ventricle,HP:0001750,Fyler:0200|SNOMEDCT_US:45503006|UMLS:C0152424|Fyler:200
Curved proximal phalanx of the thumb,Curved innermost thumb bone,HP:0009632,UMLS:C4024265
Ventricular flutter,,HP:0011841,UMLS:C0152173|MSH:D054141|SNOMEDCT_US:111288001
Reduced alpha/beta synthesis ratio,,HP:0011907,UMLS:C4023136
Atlantoaxial abnormality,,HP:0003413,UMLS:C4025617
Orange discolored tonsils,Tonsils with orange deposits|Orange tonsils|Orange discoloured tonsils|Orange colored tonsils|Orange coloured tonsils,HP:0030814,UMLS:C4280753
Type A2 brachydactyly,Short index fingers and second toes,HP:0009372,UMLS:C1832702|MSH:C537089
Long nose,Increased nasal height|Nasal elongation|Elongated nose|Increased nasal length|Long nose|Increased length of nose|Increased height of nose,HP:0003189,UMLS:C1839798
Abnormal electrophysiology of sinoatrial node origin,,HP:0011702,UMLS:C4023222|Fyler:7010
Mid-frequency hearing loss,,HP:0012781,UMLS:C4022723
Thin skin,Thin skin,HP:0000963,UMLS:C0423757|SNOMEDCT_US:277797007
Mirror image foot polydactyly,Mirror image dupliction of toes,HP:0010691,UMLS:C4021238
Glomerulonephritis,Glomerular nephritis,HP:0000099,MSH:D005921|SNOMEDCT_US:36171008|UMLS:C0017658
Generalized osteoporosis,Generalised osteoporosis|Generalized osteoporosis with pathologic fractures|Generalised osteoporosis with pathologic fractures,HP:0040160,UMLS:C0029456|MSH:D010024|SNOMEDCT_US:64859006|UMLS:C3805887
Cutaneous leiomyosarcoma,,HP:0006755,SNOMEDCT_US:254771006|NCIT:C3158|UMLS:C0346067
Cold-induced muscle cramps,,HP:0003449,UMLS:C1861675
Aplasia/Hypoplasia of the ulna,Absent/small ulna|Hypoplasia or unilateral/bilateral absence of ulna|Absent-hypoplastic ulnae|Absence/underdevelopment of inner forearm bone|ulnar hypoplasia/aplasia,HP:0006495,UMLS:C1865571
Lipoma,Fatty lump|Noncancerous fatty lump,HP:0012032,SNOMEDCT_US:93163002|MEDDRA:10024612|SNOMEDCT_US:46720004|MPATH:417|MSH:D008067|UMLS:C0023798
Congenital absence of skin of limbs,Missing skin on limbs since birth,HP:0007506,UMLS:C4024858
Congenital corneal dystrophy,,HP:0008005,UMLS:C1611195
Aplasia involving bones of the lower limbs,Absent bones of the lower limbs,HP:0009817,UMLS:C4024198
Midline notch of upper alveolar ridge,Midline notch of upper gum ridge|Midline cleft of maxillary alveolar process|Midline cleft of upper alveolar ridge|Midline notch of maxillary alveolar process|Midline notch of maxillary alveolar ridge,HP:0009084,UMLS:C1851853
Ivory epiphyses of the phalanges of the hand,Increased bone density of end part of the hand bones|Sclerotic ivory phalangeal epiphyses|Ivory epiphyses of the fingers,HP:0010234,UMLS:C1857651
Atrophic superior cerebellar peduncle,,HP:0030286,UMLS:C4022535
Stippling of the epiphysis of the distal phalanx of the 3rd finger,Speckled calcifications in end part of the outermost long bone of the middle finger,HP:0009344,UMLS:C4024423
Global proximal tubulopathy,,HP:0012573,UMLS:C4022839
Abnormal platelet dense granule ATP/ADP ratio,,HP:0030401,UMLS:C4072934
Progressive forearm bowing,Progressive forearm curvature,HP:0005891,UMLS:C3152020
Anal fistula,Fistula in ano,HP:0010447,MSH:D012003|SNOMEDCT_US:72779005|MEDDRA:10002156|UMLS:C0205929
Hashimoto thyroiditis,Hashimoto's thyroiditis|Chronic lymphocytic thyroiditis,HP:0000872,SNOMEDCT_US:21983002|UMLS:C0677607|MSH:D050031
Hydropic placenta,Hydrops of the placenta,HP:0011414,UMLS:C0270254|SNOMEDCT_US:75094005
Decreased circulating follicle stimulating hormone concentration,Decreased circulating follicle stimulating hormone level,HP:0030341,UMLS:C4072889
Erythroderma,Red scaly skin caused by inflammatory skin disease|Generalised erythroderma|Generalized erythroderma|Generalized erythrodermia|Exfoliative dermititis|Generalised erythrodermia,HP:0001019,SNOMEDCT_US:399992009|UMLS:C0011606|SNOMEDCT_US:400005007|MSH:D003873|SNOMEDCT_US:396350005|SNOMEDCT_US:200948000|SNOMEDCT_US:396349005
Psoriasiform dermatitis,Psoriasis,HP:0003765,SNOMEDCT_US:9014002|UMLS:C0033860|MSH:D011565
Thyrotoxicosis with toxic single thyroid nodule,,HP:0011786,SNOMEDCT_US:73869005|SNOMEDCT_US:69329005|UMLS:C0154141
Anterior wedging of L1,,HP:0008432,UMLS:C4024677
Elevated intracellular cystine,,HP:0003358,UMLS:C4025623
1-4 finger syndactyly,Webbed 1st-4th finger,HP:0010707,UMLS:C4023729
Fine hair,Fine hair|Thin hair texture|Thinned hair|Fine hair shaft|Thin hair shaft|Thin hair|Fine hair texture,HP:0002213,UMLS:C0423867|SNOMEDCT_US:247546006
Nonarteriosclerotic cerebral calcification,"Cerebral calcification, nonarteriosclerotic",HP:0007238,UMLS:C4021579
Laryngeal stridor,Laryngeal stidor,HP:0006511,SNOMEDCT_US:41432000|MSH:D007826|UMLS:C0023066|SNOMEDCT_US:53787002|SNOMEDCT_US:406444002
Neurodevelopmental delay,,HP:0012758,UMLS:C4022738
Broad phalanges of the 4th finger,Broad bones of ring finger,HP:0009404,UMLS:C4024387
Impaired two-point discrimination,,HP:0011810,UMLS:C4023178
Notched hand bones,Notched hand bones,HP:0004284,UMLS:C4025372
Autoamputation,,HP:0001218,UMLS:C1833222
Unaided visual acuity 0.5 LogMAR,,HP:0030540,UMLS:C4073014
Distal renal tubular acidosis,"Renal tubular acidosis, type I",HP:0008341,MSH:D000141|UMLS:C1704380|SNOMEDCT_US:236461000|SNOMEDCT_US:86210009
Abnormality of the epiphysis of the middle phalanx of the 4th toe,Abnormality of the end part of the middle bone of the 4th toe,HP:0100095,UMLS:C4022326
Intracranial internal carotid artery dissection,,HP:0012160,UMLS:C4023017
EEG with generalized slow activity grade 1,EEG with generalised slow activity grade 1,HP:0011206,UMLS:C4023468
Abnormal presence of ultra-large von Willebrand factor multimers,,HP:0030133,UMLS:C4022615
Abnormal hypothalamus physiology,,HP:0012285,UMLS:C4022968
Symphalangism affecting the phalanges of the toes,Fused toe bones,HP:0010179,UMLS:C4023984
Sclerosis of the 1st metatarsal,Increased bone density in the 1st long bone of foot,HP:0100945,UMLS:C4021913
Abnormal midbrain morphology,Abnormality of midbrain morphology|Abnormality of the midbrain|Abnormal shape of midbrain|Abnormality of the mesencephalon,HP:0002418,UMLS:C4021755
Increased bone mineral density,Increased bone mineral density|Osteosclerosis of bones|Increased bone density|Osteosclerosis,HP:0011001,SNOMEDCT_US:49347007|MSH:D010026|UMLS:C0029464
Melanoma,Skin cancer (melanoma)|Cancer of skin pigment cells|Malignant melanoma,HP:0002861,MSH:D008545|NCIT:C3224|SNOMEDCT_US:372244006|SNOMEDCT_US:2092003|UMLS:C0025202
Limited wrist extension,,HP:0006251,UMLS:C1862481
Lung fibroma,,HP:0010616,NCIT:C3041|SNOMEDCT_US:707387004|UMLS:C1334444
Supernumerary bones of the axial skeleton,,HP:0009144,UMLS:C4024573
Incomplete partition of the cochlea,,HP:0011373,UMLS:C4023392
Paroxysmal atrial fibrillation,"Atrial fibrillation, paroxysmal",HP:0004757,MSH:D001281|SNOMEDCT_US:282825002|UMLS:C0235480
Clinodactyly of the 3rd finger,Curvature of middle finger,HP:0040024,UMLS:C4022485|UMLS:C4280296
Triangular shaped phalanges of the 4th toe,Triangular shaped bones of 4th toe,HP:0010378,UMLS:C4023871
Micropenis,Small penis|Short penis,HP:0000054,UMLS:C4551492|SNOMEDCT_US:34911001
Aplasia/Hypoplasia of the distal phalanx of the 5th toe,Absent/underdeveloped outermost pinky toe bone|Absent/small outermost pinkie toe bone|Absent/small outermost pinky toe bone|Absent/small outermost little toe bone,HP:0100371,UMLS:C4022120
Criss-cross atrioventricular valves with superior-inferior ventricles,,HP:0011542,UMLS:C4023309
Duplication involving bones of the feet,Duplication involving bones of the feet,HP:0009136,UMLS:C4024578
Abnormal DLCO,Abnormal transfer factor of the lung for carbon monoxide|Abnormal diffusing capacity|Abnormal TLCO,HP:0045049,UMLS:C4073173
Abnormality of geniohyoid muscle,,HP:3000046,UMLS:C4073254
Presenile cataracts,Presenile cataract,HP:0007819,SNOMEDCT_US:441622000|UMLS:C0154971
Aplasia of the parotid gland,Abnormally small parotid gland|Underdevelopment of parotid gland|Hypoplasia of parotid gland|Absence of the parotid gland,HP:0009740,UMLS:C4020779|UMLS:C1400252|UMLS:C4024215
Cleft hard palate,Cleft of hard palate|Cleft bony palate,HP:0410005,SNOMEDCT_US:448915004|UMLS:C0432090
Nevus sebaceous,Naevus sebaceous|Sebaceous mole|Organoid nevus|Sebaceous nevus|Sebaceous naevus,HP:0010815,UMLS:C3854181|SNOMEDCT_US:52298009|MSH:D054000|SNOMEDCT_US:239112008|SNOMEDCT_US:707136009
Scapulohumeral synostosis,Synostosis of shoulder joint|Fusion of shoulder blade to long bone in upper arm|Humeroscapular synostosis|Humero-scapulo synostosis,HP:0006595,UMLS:C1865362
Hamartoma of tongue,Lingual hamartoma,HP:0011802,UMLS:C0431565|SNOMEDCT_US:253753005
Abnormal hard palate morphology,Abnormality of the secondary palate|Abnormality of the hard palate,HP:0100737,UMLS:C4021983
Subcortical white matter calcifications,,HP:0007346,UMLS:C1851430
Unilateral absence of pectoralis major muscle,Unilateral aplasia of pectoralis major muscle,HP:0005256,UMLS:C4021639
Reduced factor VII activity,Factor VII deficiency,HP:0008169,UMLS:C4024722|SNOMEDCT_US:37193007|UMLS:C0015503|MSH:D005168
Transitional atrioventricular canal defect,,HP:0011578,UMLS:C4023289
Agenesis of pulmonary vessels,Absent lung vessels,HP:0005311,UMLS:C1970630
Anterior tibial bowing,Anterior bowing of tibia,HP:0006390,UMLS:C1861937
Lethargy,Lethargy,HP:0001254,MSH:D053609|UMLS:C0023380|SNOMEDCT_US:214264003
Scleritis,Inflammation of the outer white part of the eye,HP:0100532,SNOMEDCT_US:78370002|UMLS:C0036416|MSH:D015423
Fractures of the long bones,Increased long bone fracture rate,HP:0003084,UMLS:C0240231
Abnormal amplitude of pattern electroretinogram,,HP:0030485,UMLS:C4072975
Flaring of rib cage,Flaring of rib cage|Anterior flaring of ribs,HP:0000904,UMLS:C1854780
Severe expressive language delay,,HP:0006863,UMLS:C1851085|SNOMEDCT_US:62221000119105
Pectoralis major hypoplasia,Pectoralis major muscle hypoplasia,HP:0008953,UMLS:C1840086
Aplasia/hypoplasia of proximal toe phalanx,Aplasia/Hypoplasia of the proximal phalanges of the toes|Absent/underdeveloped innermost toe bones|Absent/small innermost toe bones,HP:0010203,UMLS:C4021317
Thickening of the lateral border of the scapula,Thickening of the lateral border of the shoulder blade,HP:0006650,UMLS:C1834383
Dilatation of the ductus arteriosus,Congenital ductus arteriosus aneurysm|Ductus arteriosus aneurysm,HP:0030745,UMLS:C0398357|SNOMEDCT_US:233990006
Chronic bronchitis,,HP:0004469,SNOMEDCT_US:63480004|MSH:D029481|UMLS:C0008677
Congenital localized absence of skin,Congenital localised absence of skin|Congenital localised skin absence|Congenital localized skin absence,HP:0007383,UMLS:C2673597
Adrenocorticotropic hormone deficiency,Corticotropin deficiency|ACTH deficiency,HP:0011748,SNOMEDCT_US:237692001|MSH:C535668|UMLS:C0342388
Absent cupid's bow,Agenesis of cupid's bow|Absent cupid's bow|Missing cupid's bow|Failure of development of cupid's bow|Lack of cupid's bow|Aplasia of cupid's bow,HP:0010800,UMLS:C2053435
Cerebral edema,Brain swelling|Brain edema|Cerebral oedema|Swelling of brain|Brain oedema,HP:0002181,MSH:D001929|SNOMEDCT_US:2032001|UMLS:C1527311|UMLS:C0006114
Irregular tarsal ossification,Irregular tarsal centres|Irregular tarsal centers|Irregular ankle bone maturation,HP:0008134,UMLS:C4021554|UMLS:C4280415
Polydactyly affecting the 2nd finger,Extra index finger,HP:0009946,UMLS:C4024152
Peripheral tractional retinal detachment,Peripheral traction retinal detachment|Tractional retinal detachment at the periphery of the retina,HP:0007643,UMLS:C4024825
Motor conduction block,,HP:0012078,UMLS:C4023056
T-cell lymphoma/leukemia,,HP:0005517,UMLS:C4025186
Restricted chest movement,Restricted chest movement,HP:0006596,UMLS:C4025015
Abnormal eating behavior,Abnormal eating behavior|Abnormal eating behaviour,HP:0100738,UMLS:C4021982
Bifid nose,Bifid nasal bridge|Indentation or clefting of the nose|Cleft nose|Cleft nasal bridge|Indented bridge of nose,HP:0011803,MSH:C535441|UMLS:C4280318|UMLS:C4280319|SNOMEDCT_US:204521002|UMLS:C0221363
Bilateral lung agenesis,Bilateral pulmonary agenesis|Absent lungs,HP:0005944,Fyler:4206|UMLS:C4021610
Lipomeningocele,,HP:0030710,SNOMEDCT_US:253120005|UMLS:C0431344
Patchy sclerosis of the middle phalanx of the 2nd toe,Uneven increase in bone density in the middle bone of the 2nd toe,HP:0010409,UMLS:C4023846
Pyelonephritis,,HP:0012330,UMLS:C0034186|MSH:D011704|SNOMEDCT_US:45816000
Submucous cleft lip,Submucous labial cleft,HP:0009101,UMLS:C1839277
Bell-shaped thorax,"Narrow, bell-shaped thorax|Bell-shaped chest|Constricted, bell-shaped thorax",HP:0001591,UMLS:C1865186
Hypohidrotic ectodermal dysplasia,,HP:0007607,MSH:D053358|UMLS:C0162359|SNOMEDCT_US:7731005|SNOMEDCT_US:239007005
Abnormal electroretinogram,Abnormal ERG|ERG abnormal|Abnormal electroretinography,HP:0000512,SNOMEDCT_US:274524001|UMLS:C0476397
Decreased carpal angles of wrist,,HP:0004049,UMLS:C4025416
Pneumonia,Pneumonia,HP:0002090,SNOMEDCT_US:233604007|UMLS:C0032285|MSH:D011014
Frontal hirsutism,Hairy forehead|Hirsute forehead,HP:0011335,UMLS:C1839830
Joint hyperflexibility,Joints move beyond expected range of motion,HP:0005692,UMLS:C3553764
Abnormal foot morphology,Foot deformities|Abnormal feet structure|Foot deformity|Abnormality of the feet|Abnormality of the foot,HP:0001760,UMLS:C0016506|SNOMEDCT_US:229844004|MSH:D005530
Primitive neuroectodermal tumor,Primitive neuroectodermal tumour,HP:0030065,SNOMEDCT_US:55045006|SNOMEDCT_US:39781001|SNOMEDCT_US:699028006|UMLS:C0206663|MSH:D018242
Bracket epiphysis of the middle phalanx of the 2nd toe,Bracket shaped end part of the middle bone of the 2nd toe,HP:0100112,UMLS:C4022309
Enlarged epiphysis of the distal phalanx of the thumb,Enlarged end part of thumb outermost long bone|Large terminal thumb phalanx epiphysis,HP:0009678,UMLS:C4021408
Aplasia of the lower vagina,Agenesis of the lower vagina|Absent lower vagina,HP:0012674,UMLS:C0431646|SNOMEDCT_US:253834007
Cerebellar cyst,Cerebellar cysts,HP:0002350,UMLS:C1847762
Abnormality of the epiphyses of the 3rd finger,Abnormality of end part of the middle bone of the middle finger,HP:0009320,UMLS:C4024445
Pseudoepiphyses,,HP:0010584,UMLS:C1841685
Intermittent lactic acidemia,,HP:0004913,UMLS:C1844917
Long lower eyelashes,Long lower eyelashes|Increased length of lower eyelashes|Ciliary trichomegaly of lower eyelashes,HP:0040053,UMLS:C4022465
Gingival fibromatosis,Gingival fibroma|Gingival fibrous nodules|Hereditary gingival fibromatosis|Idiopathic gingival hyperplasia,HP:0000169,NCIT:C3041|MSH:C562884|MSH:D005351|UMLS:C4280677|SNOMEDCT_US:58569000|SNOMEDCT_US:109620006|UMLS:C0399440|UMLS:C0016049
Retinoschisis,,HP:0030502,SNOMEDCT_US:44268007|UMLS:C0152439|MSH:D041441
Percussion myotonia,Transient swelling of muscle induced by percussion,HP:0010548,UMLS:C0751359|MSH:D009222
Hypogeusia,Decreased taste|Decreased taste sensation,HP:0000224,SNOMEDCT_US:697990000|UMLS:C0151934|MSH:D000370
Protruding coccyx,Protruding tailbone,HP:0040017,UMLS:C4022489
Diplopia,Double vision,HP:0000651,UMLS:C0012569|SNOMEDCT_US:24982008|MSH:D004172
Cupped ulnar metaphysis,,HP:0004041,UMLS:C4025422
Abnormal energy expenditure,Abnormal energy expenditure,HP:0012338,UMLS:C4022949
Congenital foot contraction deformities,,HP:0005853,UMLS:C4025123
Reticular hyperpigmentation,Reticulate hyperpigmentation,HP:0007588,UMLS:C1851972
Protruding tongue,Lingual protrusion|Lingual prolapse|Lingual prominence|Tongue protrusion|Prolapse of tongue|Protruding tongue|Prominent tongue|Tongue sticking out of mouth,HP:0010808,SNOMEDCT_US:249872000|SNOMEDCT_US:285503005|UMLS:C0241442
Patellar aplasia,Absent patellae|Absent kneecap|Absent patellas|Absent patella|Aplastic patellae,HP:0006443,UMLS:C1868578
Polyclonal elevation of IgM,,HP:0003459,UMLS:C4025612
Unaided visual acuity 0.3 LogMAR,,HP:0030538,UMLS:C4073012
Diaminoaciduria,,HP:0008339,UMLS:C4024698
Abnormal pigmentation of the oral mucosa,Abnormal colour of the oral mucosa|Abnormal color of the oral mucosa|Abnormal pigmentation of oral mucous membrane|Abnormal pigmentation of oral cavity|Abnormal pigmentation of the oral mucosa/gingivae,HP:0100669,UMLS:C4020959
Abnormality of metacarpophalangeal joint,Abnormality of the knuckle,HP:0011911,UMLS:C4023132
Mesiodens,Extra tooth in the midline|Extra tooth|Median supernumary tooth|Midline supernumary tooth|Mesiodentes,HP:0011067,UMLS:C0266030|SNOMEDCT_US:367534004|UMLS:C4280340|MSH:D014096|SNOMEDCT_US:8666004|SNOMEDCT_US:17802000|UMLS:C0040457|SNOMEDCT_US:266414008
Anejaculation,Ejaculatory incompetence,HP:0012879,SNOMEDCT_US:42288005|SNOMEDCT_US:248782001|UMLS:C0278106
Unilateral lung agenesis,Unilateral pulmonary agenesis,HP:0030707,MSH:C562992|UMLS:C4082952
Spinal rigidity,Rigid spine|Reduced spine movement,HP:0003306,UMLS:C1858025
Fragmentation of the epiphysis of the proximal phalanx of the 4th finger,Fragmentation of end part of the innermost bone of the ring finger,HP:0009265,UMLS:C4024484
Hypertensive retinopathy,,HP:0001095,SNOMEDCT_US:6962006|UMLS:C0152132|MSH:D058437
Rapidly progressive,Worsening quickly|Rapid progression|Rapidly progressive disorder,HP:0003678,UMLS:C1838681|UMLS:C1850776
Abnormal thorax morphology,Structural abnormality of the chest wall|Abnormality of the thorax|Abnormality of the chest,HP:0000765,UMLS:C4021797
Abnormal respiratory motile cilium physiology,,HP:0012261,UMLS:C4022984
Carpal synostosis,Fused wrist bones|Fusion of carpal bones|Carpal fusion|Synostosis involving the carpal bones|Fused carpal bones|Carpal bone fusion,HP:0009702,SNOMEDCT_US:253930002|UMLS:C0431863
Intervertebral disk calcification,Intervertebral disc calcification|Multiple intervertebral disk calcifications|Multiple intervertebral disc calcifications,HP:0005645,SNOMEDCT_US:240211000|UMLS:C0410607
Highly elevated creatine kinase,Highly elevated serum CK|Highly elevated serum CPK|Highly elevated creatine phosphokinase|Highly elevated serum phosph-CK|Highly elevated CPK,HP:0030234,UMLS:C4022565
Increased bone density with cystic changes,,HP:0005700,UMLS:C4025151
Decreased circulating copper concentration,Reduced serum copper|Copper deficiency|Hypocupremia,HP:0011967,UMLS:C0268070|SNOMEDCT_US:19577007
Cone-shaped epiphyses of the 3rd toe,Cone-shaped end part of the 3rd toe bone,HP:0100057,UMLS:C4022364
Abnormality of skin physiology,Abnormality of skin physiology,HP:0011122,UMLS:C4023527
Abnormality of the nasal alae,Abnormality of the nasal ala|Abnormality of the nasal alar cartilage|Malformation of the nasal alar cartilage|Deformity of the nasal ala|Deformity of the nasal alar cartilage|Malformation of the nasal ala,HP:0000429,UMLS:C4280632|UMLS:C4021804|UMLS:C2227020|UMLS:C4280631
Osseous syndactyly of toes,Osseous syndactyly of the toes,HP:0010717,UMLS:C0158738|SNOMEDCT_US:32113001|SNOMEDCT_US:38859008
Argyrophilic inclusion bodies,Pick inclusion bodies|Agyrophilic inclusion bodies,HP:0100317,UMLS:C4021022
Merkel cell skin cancer,Primary small cell carcinoma of the skin|Merkel cell cancer of the skin|Primary undifferentiated carcinoma of the skin|Cutaneous APUDoma|Anaplastic carcinoma of the skin|Neuroendocrine carcinoma of the skin|Neuroendocrine tumour of the skin|Neuroendocrine tumor of the skin,HP:0030447,UMLS:C0007129|SNOMEDCT_US:254729005|MSH:D015266|SNOMEDCT_US:253001006|SNOMEDCT_US:5052009
Abnormality of the thyroid gland,Abnormality of the thyroid gland|Thyroid abnormality|Thyroid disease,HP:0000820,MSH:D013959|UMLS:C0040128|SNOMEDCT_US:14304000
Abnormality of the antihelix,Abnormal antihelix|Abnormal anthelix|Abnormal antehelix,HP:0009738,UMLS:C4021395
Defective B cell differentiation,,HP:0005357,UMLS:C1859624
Chronic respiratory acidosis,,HP:0012466,SNOMEDCT_US:8764008|UMLS:C0268048
Tapered metacarpals,Tapered long bones of hand,HP:0006108,UMLS:C4025091
Abnormality of cartilage of external ear,,HP:3000022,UMLS:C4073231
Reduced number of intrahepatic bile ducts,Hepatic ductopenia|Intrahepatic duct deficiency,HP:0006571,UMLS:C1861621|UMLS:C4021591
Abnormality of the lower urinary tract,,HP:0010936,UMLS:C4023640
Recurrent cutaneous abscess formation,,HP:0100838,UMLS:C4021957
Myotonia of the upper limb,,HP:0012903,UMLS:C4022683
Isolation of the left subclavian artery,,HP:0031633,Fyler:2732
Mechanical ileus,,HP:0010676,SNOMEDCT_US:46420000|UMLS:C0400843
Megalencephaly,Enlarged brain|Macrencephaly,HP:0001355,MSH:D058627|UMLS:C0221355|SNOMEDCT_US:19410003
Tetralogy of Fallot with pulmonary stenosis,,HP:0011679,SNOMEDCT_US:253512000|UMLS:C0344881
Extrapyramidal dyskinesia,,HP:0007308,UMLS:C1848528
Distal sensory loss of all modalities,,HP:0006984,UMLS:C1836527
Late-onset proximal muscle weakness,,HP:0003694,UMLS:C4025578
